metric_code,metric_name_vi,metric_name_en,definition_vi,entity_level,unit,window,k_level,formula_id,source_tables,source_events,dimensions,thresholds_ref,kill_switch,drilldown_keys,notes
complaint_resolution_time_hours,Thời gian xử lý khiếu nại (giờ),Complaint Resolution Time (hours),Thời gian từ khi mở khiếu nại đến khi đóng (median/avg) theo window.,complaint_id/house_id,hours,30d,K6,F-K6-PH-01,complaint_log,"EVT_COMPLAINT_OPENED,EVT_COMPLAINT_CLOSED","commune_id,category",threshold_registry,True,"complaint_id,house_id,event_id",PLACEHOLDER (threshold registry đang có)
consent_rate,consent_rate,consent_rate,Tỷ lệ House_ID đã claimed (đủ điều kiện consent/claim) trên số qualified.,system,rate,7d,K6,F-K0-03,event_log/house_master,,"commune_id,product_code,cluster_id",,True,"house_id,lead_id,job_id,txn_id",kill if pending_consent_aging_hours>48 & pii_present
cr_qualified_to_survey_rate,Tỷ lệ Qualified → Survey,Qualified-to-Survey Conversion Rate,Số lead QUALIFIED có survey bắt đầu trong window / tổng lead QUALIFIED trong window.,lead_id/house_id,rate,7d,K1,F-K1-PH-01,event_log,"EVT_LEAD_QUALIFIED,EVT_SURVEY_STARTED","commune_id,product_code",TBD,False,"house_id,lead_id,event_id",PLACEHOLDER (A1 locked edge cần)
data_fraud_rate,data_fraud_rate,data_fraud_rate,"Tỷ lệ nghi ngờ gian lận dữ liệu dựa trên heuristics (geo lệch, ảnh mất metadata, manual fallback...).",system,rate,7d,K6,F-K0-09,event_log/evidence_pack,,"commune_id,product_code,cluster_id",data_fraud_rate,True,"house_id,lead_id,job_id,txn_id",KILL if >threshold
dedup_merge_rate,dedup_merge_rate,dedup_merge_rate,Tỷ lệ gộp/tách/khử trùng House_ID trong kỳ (để đo chất lượng định danh).,system,rate,7d,K0,F-K0-08,house_id_canonical_map,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn if spikes
discount_rate,discount_rate,discount_rate,Tỷ lệ chiết khấu trên tổng giá trị trước chiết khấu.,system,rate,7d,K3,F-K3-02,job_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn rising
evidence_pass_rate,evidence_pass_rate,evidence_pass_rate,Tỷ lệ event bắt buộc có Evidence Pack đạt chuẩn (No Evidence–No Pay).,system,rate,7d,K0,F-K0-10,event_log/evidence_pack,,"commune_id,product_code,cluster_id",evidence_pass_rate,False,"house_id,lead_id,job_id,txn_id",warn <0.98
fin_burn_rate_monthly_vnd,fin_burn_rate_monthly_vnd,fin_burn_rate_monthly_vnd,Burn rate tháng (ước tính) = OPEX tháng + CAPEX cash-out trong tháng (nếu có).,pilot,vnd,30d,K8,F-FIN-INV-06,event_log,"EVT_FIN_OPEX_INCURRED,EVT_FIN_CAPEX_COMMITTED",commune_id,,False,"pilot_id,commune_id,event_log_id",[Suy luận] nếu CAPEX chỉ là commit (không cash-out) thì burn dùng OPEX.
fin_capex_committed_cum_vnd,fin_capex_committed_cum_vnd,fin_capex_committed_cum_vnd,Tổng CAPEX đã cam kết lũy kế trong pilot.,pilot,vnd,30d,K8,F-FIN-INV-04,event_log,EVT_FIN_CAPEX_COMMITTED,commune_id,,False,"pilot_id,commune_id,event_log_id",So với CAPEX budget để kiểm soát.
fin_dso_days,fin_dso_days,fin_dso_days,Số ngày thu tiền trung bình từ bàn giao đến tiền vào (DSO).,system,days,point-in-time,K4,F-K4-01,job_master/finance_ledger,,"commune_id,product_code,cluster_id",fin_dso_days,True,"house_id,lead_id,job_id,txn_id",KILL if >7
fin_opex_spent_cum_vnd,fin_opex_spent_cum_vnd,fin_opex_spent_cum_vnd,Tổng OPEX đã phát sinh lũy kế (vận hành/marketing) trong pilot.,pilot,vnd,30d,K8,F-FIN-INV-05,event_log,EVT_FIN_OPEX_INCURRED,commune_id,,True,"pilot_id,commune_id,event_log_id",Kill khi vượt OPEX budget cap.
fin_pilot_capex_budget_vnd,fin_pilot_capex_budget_vnd,fin_pilot_capex_budget_vnd,Ngân sách CAPEX (chi đầu tư ban đầu) của pilot theo quyết định HO.,pilot,vnd,point-in-time,K8,F-FIN-INV-01,pilot_config/event_log,EVT_FIN_PILOT_BUDGET_SET,commune_id,,False,"pilot_id,commune_id,event_log_id",CAPEX gồm nền tảng/thiết bị/triển khai pha đầu; Platform có thể 'ẩn' trong CAPEX.
fin_pilot_opex_budget_vnd,fin_pilot_opex_budget_vnd,fin_pilot_opex_budget_vnd,Ngân sách OPEX (chi vận hành) của pilot theo quyết định HO.,pilot,vnd,point-in-time,K8,F-FIN-INV-02,pilot_config/event_log,EVT_FIN_PILOT_BUDGET_SET,commune_id,,True,"pilot_id,commune_id,event_log_id",Dùng để kiểm soát burn; kill khi vượt budget cap (cần chốt cap).
fin_runway_days,fin_runway_days,fin_runway_days,Số ngày runway (còn chạy được) = (cash_balance + buffer) / burn_rate_daily.,pilot,days,point-in-time,K8,F-FIN-INV-07,pilot_config/finance_ledger,"EVT_FIN_PILOT_BUDGET_SET,EVT_FIN_CASH_COLLECTED",commune_id,fin_runway_days,True,"pilot_id,commune_id,txn_id",[Suy luận] cần có cash_balance_vnd (tổng số dư ví/tiền mặt).
fin_working_capital_buffer_vnd,fin_working_capital_buffer_vnd,fin_working_capital_buffer_vnd,Buffer vốn lưu động để tránh gãy payout/thi công khi cash-in lệch nhịp.,pilot,vnd,point-in-time,K8,F-FIN-INV-03,pilot_config/event_log,EVT_FIN_PILOT_BUDGET_SET,commune_id,,False,"pilot_id,commune_id,event_log_id",[Suy luận] dùng cho runway.
financing_penetration,financing_penetration,financing_penetration,Tỷ lệ job dùng tài chính/vay.,mixed,rate,point-in-time,K3,F-K3-04,loan_app/job_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",
first_time_right_rate,First-time-right (tỷ lệ),First-time-right rate,Tỷ lệ job không làm lại sau nghiệm thu.,job,rate,rolling_30d,K2,F-OPS-01,"job_master,event_log","EVT_OPS_JOB_COMPLETED,EVT_OPS_REWORK_OPENED","commune_id,product_code,installer_role",first_time_right_rate,True,"job_id,house_id,installer_id",Đề cương nêu ≥90%. | REMAP from K? (P0.3).
gross_order_value_vnd,Gross Order Value (VND),Gross order value (VND),Giá trị thu tiền đã gồm VAT (tiền khách trả).,payment,vnd,rolling_30d,K4,F-VAT-00,"event_log,split_engine",EVT_FIN_CASH_COLLECTED,"commune_id,product_code",,False,"txn_id,job_id,house_id",Chạy sau CASH_COLLECTED theo split_rules. | REMAP from K? (P0.3).
house_age_bucket_coverage_rate,Tỷ lệ House có age_bucket,House age-bucket coverage rate,Số house_id có age_bucket suy ra / tổng house_id trong scope.,house_id,rate,30d,K0,F-K0-AGE-02,house_master,"EVT_HOUSE_BUILT_YEAR_SET,EVT_HOUSE_LAST_MAJOR_RENOVATION_YEAR_SET",commune_id,TBD,False,house_id,NEW (P0-AGE)
house_built_year_coverage_rate,Tỷ lệ House có năm xây dựng,House built-year coverage rate,Số house_id có built_year hợp lệ / tổng house_id trong scope.,house_id,rate,30d,K0,F-K0-AGE-01,"house_master,event_log",EVT_HOUSE_BUILT_YEAR_SET,commune_id,TBD,False,"house_id,event_id",NEW (P0-AGE)
house_id_match_rate,house_id_match_rate,house_id_match_rate,Tỷ lệ lead gắn được House_ID (không orphan).,system,rate,7d,K0,F-K1-05,lead_master/house_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn < threshold
hr_capacity_utilization_rate,hr_capacity_utilization_rate,hr_capacity_utilization_rate,Tỷ lệ dùng hết công suất = workload / capacity (theo model capacity_json).,pilot,rate,7d,K8,F-HR-04,pilot_config/event_log/lead_master/job_master,EVT_ENG_CAPACITY_SET,"commune_id,role_code",hr_capacity_utilization_rate,True,"pilot_id,commune_id,role_code",[Suy luận] nếu >1.0 kéo dài -> quá tải -> SLA vỡ.
hr_field_runner_fte_count,hr_field_runner_fte_count,hr_field_runner_fte_count,Số Field Runner FTE (full-time) tại thực địa.,pilot,count,point-in-time,K8,F-HR-02,pilot_config/event_log,"EVT_ENG_ROLE_ASSIGNED,EVT_ENG_ROSTER_CORE_LOCKED",commune_id,,False,"pilot_id,commune_id,user_id",Pilot tối thiểu 1.
hr_ops_clerk_count,hr_ops_clerk_count,hr_ops_clerk_count,Số nhân sự nhập liệu dự phòng/đối soát (Ops Clerk) theo SOP fallback.,pilot,count,point-in-time,K8,F-HR-03,pilot_config/event_log,"EVT_ENG_ROLE_ASSIGNED,EVT_ENG_ROSTER_CORE_LOCKED",commune_id,,False,"pilot_id,commune_id,user_id",Checklist Gate-0 yêu cầu >=2.
hr_roster_fill_rate,hr_roster_fill_rate,hr_roster_fill_rate,Tỷ lệ lấp đầy bộ máy nhân sự core (đủ vị trí bắt buộc / tổng vị trí bắt buộc).,pilot,rate,point-in-time,K8,F-HR-01,pilot_config/event_log,EVT_ENG_ROSTER_CORE_LOCKED,commune_id,hr_roster_fill_rate,True,"pilot_id,commune_id,event_log_id",Gate-0: nếu <100% thì không Go-Live.
job_started_count,Job hôm nay (số lượng bắt đầu),Jobs started count (today),Số job bắt đầu trong ngày (dùng cho Pulse).,system,count,1d,K2,F-PULSE-JOB-COUNT,event_log,EVT_TRX_JOB_STARTED,"commune_id,product_code,cluster_id",,False,"job_id,house_id,event_id",[Suy luận] Bổ sung kỹ thuật để Pulse có số job hôm nay.
l1_margin_per_job,l1_margin_per_job,l1_margin_per_job,Biên L1 trung bình/job (doanh thu lõi trừ chi phí trực tiếp).,mixed,vnd,point-in-time,K3,F-K3-07,job_master/cost_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn <0
l2_cross_sell_rate,l2_cross_sell_rate,l2_cross_sell_rate,Tỷ lệ cross-sell L2 trên các House_ID đã golden.,system,rate,7d,K3,F-K3-08,job_master/house_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",
lead_citizen_org_rate,lead_citizen_org_rate,lead_citizen_org_rate,Tỷ lệ lead từ cộng đồng (UST/ANC/CTV/dân).,system,rate,7d,K1,F-K1-02,lead_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",
lead_created_count,Lead hôm nay (số lượng),Lead created count (today),Số lead được tạo trong ngày (dùng cho Pulse).,system,count,1d,K1,F-PULSE-LEAD-COUNT,event_log,EVT_ENG_LEAD_CREATED,"commune_id,product_code,cluster_id",,False,"lead_id,house_id,event_id",[Suy luận] Bổ sung kỹ thuật để Pulse có số lead hôm nay.
lead_platform_rate,lead_platform_rate,lead_platform_rate,Tỷ lệ lead từ nền tảng/app trên tổng lead.,system,rate,7d,K1,F-K1-01,lead_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",
lead_source_ctv_rate,lead_source_ctv_rate,lead_source_ctv_rate,Tỷ lệ lead từ CTV/ANC trên tổng lead.,system,rate,7d,K1,F-K1-03,lead_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",
lead_valid_rate,lead_valid_rate,lead_valid_rate,Tỷ lệ lead hợp lệ (đủ thông tin + đúng quy tắc) trên tổng lead.,system,rate,7d,K1,F-K1-04,lead_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn < threshold
lost_reason_distribution_json,lost_reason_distribution_json,lost_reason_distribution_json,Phân phối lý do mất lead (dạng JSON).,mixed,json,point-in-time,K1,F-K1-08,lead_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",
net_sales_basis_vnd,Doanh thu thuần basis (VND),Net sales basis ex-VAT (VND),Doanh thu thuần (chưa VAT) dùng làm basis để chia tiền.,payment,vnd,rolling_30d,K4,F-VAT-01,"event_log,split_engine",EVT_FIN_CASH_COLLECTED,"commune_id,product_code",,False,"txn_id,job_id,house_id",Chạy sau CASH_COLLECTED theo split_rules. | REMAP from K? (P0.3).
ops_data_latency_hours,ops_data_latency_hours,ops_data_latency_hours,Độ trễ từ lúc sự kiện xảy ra đến lúc ghi vào hệ thống.,system,hours,7d,K2,F-H2-02,event_log,,"commune_id,product_code,cluster_id",,True,"house_id,lead_id,job_id,txn_id",KILL if widespread >24h
ops_fallback_breach_count,ops_fallback_breach_count,ops_fallback_breach_count,Số job/bản ghi fallback vượt quá 24h (breach).,mixed,count,point-in-time,K2,F-H2-03,event_log,,"commune_id,product_code,cluster_id",ops_fallback_breach_count,True,"house_id,lead_id,job_id,txn_id",KILL if >0 (theo gate)
ops_manual_entry_flag,ops_manual_entry_flag,ops_manual_entry_flag,Cờ cho biết bản ghi/job được nhập tay (fallback) thay vì qua app.,mixed,flag,point-in-time,K2,F-H2-01,event_log,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn rising
ops_sla_ontime_rate,SLA On-time rate (tỷ lệ đúng hạn),SLA on-time rate,Tỷ lệ job/flow đạt SLA (ước tính = 1 - sla_breach_rate).,system,rate,7d,K2,F-SLA-ONTIME,derived_metrics,,"commune_id,product_code,cluster_id",,False,"job_id,house_id",[Suy luận] Chuyển breach→ontime để causal map dễ đọc.
pending_consent_aging_hours,pending_consent_aging_hours,pending_consent_aging_hours,Số giờ chờ từ lúc qualified đến khi claimed/consented (tính cho các house chưa claimed).,system,hours,point-in-time,K6,F-K0-04,event_log,,"commune_id,product_code,cluster_id",pending_consent_aging_hours,False,"house_id,lead_id,job_id,txn_id",warn >48
prepaid_rate,prepaid_rate,prepaid_rate,Tỷ lệ job có đặt cọc/thu trước trước khi thi công hoặc trước bàn giao.,system,rate,7d,K4,F-K4-02,finance_ledger/job_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",
quote_in_field_minutes,Thời gian tạo báo giá tại hiện trường (phút),Quote in field time (minutes),Thời gian từ survey complete đến quote generated tại hiện trường.,job_id/house_id,minutes,30d,K2,F-K2-PH-01,event_log,"EVT_SURVEY_COMPLETED,EVT_QUOTE_GENERATED","commune_id,product_code",threshold_registry,False,"job_id,house_id,event_id",PLACEHOLDER (threshold registry đang có)
referral_rate,referral_rate,referral_rate,Tỷ lệ lead đến từ giới thiệu (referral).,system,rate,7d,K1,F-K1-07,lead_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",
rework_rate,rework_rate,rework_rate,Tỷ lệ làm lại (rework) trên tổng job hoàn thành.,system,rate,7d,K2,F-K2-07,job_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn rising
risk_evidence_score,risk_evidence_score,risk_evidence_score,Điểm chất lượng Evidence Pack (0-100).,mixed,score,point-in-time,K6,F-H3-03,evidence_pack,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn < threshold
risk_geo_deviation_meters,risk_geo_deviation_meters,risk_geo_deviation_meters,Độ lệch GPS của tác nhân so với tọa độ House_ID khi tạo bằng chứng.,mixed,meters,point-in-time,K0,F-H3-01,evidence_pack,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn > threshold
risk_img_metadata_valid_flag,risk_img_metadata_valid_flag,risk_img_metadata_valid_flag,Cờ ảnh có metadata gốc (chống ảnh chỉnh sửa/forward).,mixed,flag,point-in-time,K6,F-H3-02,evidence_pack,,"commune_id,product_code,cluster_id",,True,"house_id,lead_id,job_id,txn_id",kill if widespread false
risk_reserve_wallet_vnd,Ví dự phòng rủi ro (VND),Risk reserve wallet (VND),Phần residual còn lại sau khi trừ COGS/install/network/OS (tính trên basis).,payment,vnd,rolling_30d,K6,F-SPLIT-06,"event_log,split_engine",EVT_FIN_CASH_COLLECTED,"commune_id,product_code",,False,"txn_id,job_id,house_id",Chạy sau CASH_COLLECTED theo split_rules.
roof_polygon_valid_rate,roof_polygon_valid_rate,roof_polygon_valid_rate,Tỷ lệ House_ID có roof_polygon_geojson hợp lệ (polygon) trên tổng House_ID có drone scan.,mixed,rate,7d,K0,F-A1-VDCD-03,event_log,EVT_DISC_DRONE_SCAN_CREATED,"commune_id,product_code,cluster_id",roof_polygon_valid_rate,False,"house_id,lead_id,job_id,txn_id",Dùng cho tính diện tích/công suất; [Suy luận] ngưỡng >=90%.
shadow_house_id_coverage,shadow_house_id_coverage,shadow_house_id_coverage,Độ phủ House_ID (Shadow+ trở lên) trên tổng số hộ ước tính trong vùng.,mixed,pct,point-in-time,K0,F-K0-01,uav_inventory/house_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn if <0.95
sla_breach_rate,sla_breach_rate,sla_breach_rate,Tỷ lệ vi phạm SLA (trễ hẹn) trên tổng job.,system,rate,7d,K2,F-K2-06,job_master,,"commune_id,product_code,cluster_id",,True,"house_id,lead_id,job_id,txn_id",KILL if spikes
sla_kitchen_door_complete_days,SLA hoàn tất cửa bếp (ngày),Kitchen door completion SLA (days),Thời gian từ đo đạc đến hoàn tất lắp đặt cửa bếp.,job_id,days,30d,K2,F-K2-PH-02,event_log,"EVT_MEASURE_COMPLETED,EVT_INSTALL_COMPLETED","commune_id,team_id",threshold_registry,False,"job_id,house_id,event_id",PLACEHOLDER (threshold registry đang có)
sla_lead_to_survey_hours,SLA Lead→Survey (giờ),SLA Lead to Survey (hours),Giờ từ lúc lead hợp lệ (qualified) đến lúc survey/check-in bắt đầu.,lead/job,hours,rolling_7d,K2,F-SLA-01,event_log,"EVT_LEAD_QUALIFIED,EVT_OPS_SURVEY_STARTED","commune_id,product_code,cluster_id,ust_id",sla_lead_to_survey_hours,True,"lead_id,house_id,ust_id",Ngưỡng theo đề cương: ≤48h.
sla_survey_to_quote_hours,SLA Survey→Quote (giờ),SLA Survey to Quote (hours),Giờ từ lúc survey hoàn tất đến lúc tạo báo giá (CPQ quote).,job,hours,rolling_7d,K2,F-SLA-02,event_log,"EVT_OPS_SURVEY_COMPLETED,EVT_TRX_CPQ_QUOTE_CREATED","commune_id,product_code,cluster_id",sla_survey_to_quote_hours,True,"job_id,house_id,ust_id",Ngưỡng theo đề cương: ≤24h.
state_transition_latency_hours,state_transition_latency_hours,state_transition_latency_hours,Độ trễ trung bình để House_ID chuyển trạng thái (shadow→qualified→claimed→financial→golden).,system,hours,7d,K0,F-K0-06,event_log,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn if rising
stockout_rate,stockout_rate,stockout_rate,Tỷ lệ job bị ảnh hưởng do thiếu hàng/vật tư.,system,rate,7d,K2,F-K2-08,supply_log/job_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn rising
stuck_rate_critical,stuck_rate_critical,stuck_rate_critical,Tỷ lệ House_ID bị kẹt quá ngưỡng ở bất kỳ trạng thái nào.,mixed,rate,7d,K0,F-K0-07,event_log,,"commune_id,product_code,cluster_id",,True,"house_id,lead_id,job_id,txn_id",kill if >threshold
supply_time_lag_days,supply_time_lag_days,supply_time_lag_days,Độ trễ cấp hàng trung bình (ngày).,system,days,point-in-time,K2,F-K2-09,supply_log,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn > threshold
sys_kill_switch_status,Trạng thái Kill-switch (cầu dao),Kill-switch status,Trạng thái tổng hợp: SAFE nếu mọi kill-switch metric trong vùng an toàn; TRIGGERED nếu bất kỳ kill-switch metric vào vùng đỏ.,system,enum,point-in-time,K6,F-SYS-KILL,threshold_registry+metrics,,,,False,metric_code,[Suy luận] Metric tổng hợp để HĐQT nhìn 1 phát biết 'cầu dao' có bật không.
tcr_trust_conversion_rate,tcr_trust_conversion_rate,tcr_trust_conversion_rate,Tỷ lệ chuyển lead hợp lệ → job (tính theo cohort để đúng mẫu số).,system,rate,7d,K1,F-K1-06,lead_master/job_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn if falling
unconsented_pii_risk,unconsented_pii_risk,unconsented_pii_risk,Đếm số House_ID có PII nhưng chưa claimed/consented quá 48h (rủi ro pháp lý).,mixed,count,point-in-time,K6,F-K0-05,house_pii_zone/event_log,,"commune_id,product_code,cluster_id",,True,"house_id,lead_id,job_id,txn_id",KILL if >0
ust_dau_rate,Tỷ lệ UST hoạt động hằng ngày (DAU),UST Daily Active User Rate,Tỷ lệ UST có ít nhất 1 phiên thao tác trong ngày / tổng UST on-duty.,ust_id/commune_id,rate,7d,K5,F-K5-PH-01,app_event_log,EVT_APP_SESSION_STARTED,"commune_id,ust_id",TBD,False,"ust_id,event_id,session_id",PLACEHOLDER (cần telemetry K5)
ust_on_duty_rate,ust_on_duty_rate,ust_on_duty_rate,Tỷ lệ UST có hoạt động hợp lệ trong rolling 7 ngày / tổng roster.,system,rate,7d,K2,F-K2-01,activity_log/user_roster,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn <1.0 (pilot)
ust_productivity,ust_productivity,ust_productivity,Năng suất UST: số touch/lead tạo ra mỗi ngày (rolling 7 ngày).,mixed,count/day,point-in-time,K2,F-K2-02,activity_log,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn falling
ust_working_capital_turnover_days,ust_working_capital_turnover_days,ust_working_capital_turnover_days,Vòng quay vốn lưu động tuyến đầu (UST) theo ngày (proxy).,system,days,point-in-time,K4,F-K4-04,finance_ledger/job_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn rising
vam_payout_latency_hours,vam_payout_latency_hours,vam_payout_latency_hours,Độ trễ chi thưởng VAM từ event hợp lệ đến lúc payout (giờ).,system,hours,7d,K4,F-K4-03,finance_ledger/event_log,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn >24h
vat_goods_vnd,VAT hàng hóa (VND),Goods VAT (VND),VAT của phần hàng hóa (10%).,payment,vnd,rolling_30d,K3,F-VAT-03,"event_log,split_engine",EVT_FIN_CASH_COLLECTED,"commune_id,product_code",,False,"txn_id,job_id,house_id",Chạy sau CASH_COLLECTED theo split_rules.
vat_install_vnd,VAT lắp đặt (VND),Install VAT (VND),VAT của phần lắp đặt (8%).,payment,vnd,rolling_30d,K3,F-VAT-04,"event_log,split_engine",EVT_FIN_CASH_COLLECTED,"commune_id,product_code",,False,"txn_id,job_id,house_id",Chạy sau CASH_COLLECTED theo split_rules.
vat_total_vnd,VAT Total (VND),VAT total (VND),Tổng VAT phải nộp = VAT hàng hóa 10% + VAT lắp đặt 8% theo install_pct.,payment,vnd,rolling_30d,K3,F-VAT-02,"event_log,split_engine",EVT_FIN_CASH_COLLECTED,"commune_id,product_code",,False,"txn_id,job_id,house_id",Chạy sau CASH_COLLECTED theo split_rules.
vdcd_pack_completion_rate,vdcd_pack_completion_rate,vdcd_pack_completion_rate,Tỷ lệ House_ID đã có gói VDCD (2D/3D/GeoJSON/API) được tạo và publish trên tổng House_ID có drone scan/import trong kỳ.,mixed,rate,7d,K0,F-A1-VDCD-01,event_log/vdcd_pack,"EVT_DISC_VDCD_PACK_CREATED,EVT_DISC_DRONE_SCAN_CREATED,EVT_DISC_LEGACY_IMPORT_CREATED","commune_id,product_code,cluster_id",vdcd_pack_completion_rate,False,"house_id,lead_id,job_id,txn_id",Gate-0/1: thiếu pack thì CPQ/quote kém tin; [Suy luận] ngưỡng >=95%.
vdcd_qa_pass_rate,vdcd_qa_pass_rate,vdcd_qa_pass_rate,Tỷ lệ gói VDCD QA pass trên tổng gói VDCD được tạo trong kỳ.,mixed,rate,7d,K0,F-A1-VDCD-02,event_log/vdcd_pack,"EVT_VER_VDCD_QA_PASSED,EVT_DISC_VDCD_PACK_CREATED","commune_id,product_code,cluster_id",vdcd_qa_pass_rate,True,"house_id,lead_id,job_id,txn_id",Nếu QA fail diện rộng -> dữ liệu sai -> risk; [Suy luận] kill khi <95%.
verified_house_id_count,verified_house_id_count,verified_house_id_count,Số House_ID đạt trạng thái qualified (đủ điều kiện) trong kỳ.,mixed,count,point-in-time,K0,F-K0-02,event_log/house_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn if off plan
war_room_decision_time_minutes,Thời gian ra quyết định War-room (phút),War-room decision time (minutes),Thời gian từ khi trigger RED đến khi quyết định hành động được log.,incident_id,minutes,90d,K6,F-SYS-PH-01,incident_log,"EVT_KILL_SWITCH_TRIGGERED,EVT_WARROOM_DECISION_LOGGED",tier,threshold_registry,True,"incident_id,event_id",PLACEHOLDER (incident SLA)
